AA;MM;DD;HH;NM;MM;MA;Procedencia
2024;1;14;16;397.6;5.4;392.2;1
2024;1;14;17;454.2;7.1;447.1;1
2024;1;14;18;468.2;6.6;461.6;1
2024;1;14;19;440.7;5.7;435;1
2024;1;14;20;377.9;5.7;372.2;1
2024;1;14;21;291.3;6.4;284.9;1
2024;1;14;22;202.3;6.1;196.2;1
2024;1;14;23;141.5;6.9;134.6;1
2024;1;15;0;127.7;8.9;118.8;1
2024;1;15;1;159.8;9.5;150.3;1
2024;1;15;2;227.9;9.1;218.8;1
2024;1;15;3;317.5;8.9;308.6;1
2024;1;15;4;410.1;10.8;399.3;1
2024;1;15;5;480.2;12.5;467.7;1
2024;1;15;6;509.7;12.5;497.2;1
2024;1;15;7;495.2;12.6;482.6;1
2024;1;15;8;440.3;13.5;426.8;1
2024;1;15;9;352.9;14.4;338.5;1
2024;1;15;10;249.2;12;237.2;1
2024;1;15;11;161.7;9.4;152.3;1
2024;1;15;12;119.3;10.4;108.9;1
2024;1;15;13;126.7;11.6;115.1;1
2024;1;15;14;175.4;12.2;163.2;1
2024;1;15;15;252.7;13.6;239.1;1
2024;1;15;16;339.9;15.2;324.7;1
2024;1;15;17;415.7;17.4;398.3;1
2024;1;15;18;459.7;17.9;441.8;1
2024;1;15;19;463.9;16.7;447.2;1
2024;1;15;20;430.4;15.3;415.1;1
2024;1;15;21;364.2;13.4;350.8;1
2024;1;15;22;278.8;11.9;266.9;1
2024;1;15;23;198.5;11.6;186.9;1
2024;1;16;0;149.4;12.5;136.9;1
2024;1;16;1;144.3;13.2;131.1;1
2024;1;16;2;181.1;13;168.1;1
2024;1;16;3;250.2;13;237.2;1
2024;1;16;4;336;13.3;322.7;1
2024;1;16;5;418.7;14.3;404.4;1
2024;1;16;6;477.2;15.4;461.8;1
2024;1;16;7;497.5;15.5;482;1
2024;1;16;8;478.7;16.5;462.2;1
2024;1;16;9;422.9;17.7;405.2;1
2024;1;16;10;337.3;17;320.3;1
2024;1;16;11;243;15;228;1
2024;1;16;12;170.2;14.2;156;1
2024;1;16;13;139.9;15.4;124.5;1
2024;1;16;14;155.3;17.9;137.4;1
2024;1;16;15;206.7;20.2;186.5;1
2024;1;16;16;278.3;20.5;257.8;1
2024;1;16;17;355.4;21.8;333.6;1
2024;1;16;18;418.4;23.3;395.1;1
2024;1;16;19;449.5;21.5;428;1
2024;1;16;20;446.9;19.7;427.2;1
2024;1;16;21;413.7;19.9;393.8;1
2024;1;16;22;351.3;18.7;332.6;1
2024;1;16;23;275.1;18.5;256.6;1
2024;1;17;0;207.9;19.9;188;1
2024;1;17;1;169.7;21.1;148.6;1
2024;1;17;2;171.5;22.4;149.1;1
2024;1;17;3;211.1;24.3;186.8;1
2024;1;17;4;279;27.7;251.3;1
2024;1;17;5;356.9;29.3;327.6;1
2024;1;17;6;426.3;28.9;397.4;1
2024;1;17;7;472.6;28.6;444;1
2024;1;17;8;486.9;29.1;457.8;1
2024;1;17;9;466.3;29.6;436.7;1
2024;1;17;10;412.4;29.2;383.2;1
2024;1;17;11;334;27;307;1
2024;1;17;12;252.4;24.7;227.7;1
2024;1;17;13;193.8;24.8;169;1
2024;1;17;14;172.8;26.1;146.7;1
2024;1;17;15;188.7;26.4;162.3;1
2024;1;17;16;236.6;28.8;207.8;1
2024;1;17;17;303.2;32.8;270.4;1
2024;1;17;18;368.5;34.2;334.3;1
2024;1;17;19;417.2;33;384.2;1
2024;1;17;20;441.6;32.1;409.5;1
2024;1;17;21;437.1;30.5;406.6;1
